Side,Time
B,2018-01-08 03:23:02
B,2018-01-08 03:23:14
B,2018-01-08 03:23:57
S,2018-01-08 03:24:03
S,2018-01-08 03:25:17
S,2018-01-08 03:25:33
B,2018-01-08 03:25:49
B,2018-01-08 03:25:50
S,2018-01-08 03:26:17
B,2018-01-08 03:26:30
B,2018-01-08 03:27:30
S,2018-01-08 03:28:31
S,2018-01-08 03:28:49
B,2018-01-08 03:29:08
B,2018-01-08 03:29:28
B,2018-01-08 03:29:40
S,2018-01-08 03:31:12
S,2018-01-08 03:32:22
S,2018-01-08 03:33:44
S,2018-01-08 03:34:15
B,2018-01-08 03:35:04
S,2018-01-08 03:35:16
S,2018-01-08 03:35:31
S,2018-01-08 03:35:36
S,2018-01-08 03:35:59
S,2018-01-08 03:36:37
B,2018-01-08 03:36:40
B,2018-01-08 03:36:59
S,2018-01-08 03:37:07
B,2018-01-08 03:37:16
S,2018-01-08 03:37:40
S,2018-01-08 03:39:16
B,2018-01-08 03:39:19
B,2018-01-08 03:39:21
S,2018-01-08 03:40:04
S,2018-01-08 03:40:15
S,2018-01-08 03:41:00
B,2018-01-08 03:41:51
S,2018-01-08 03:42:13
S,2018-01-08 03:42:23
S,2018-01-08 03:42:37
B,2018-01-08 03:44:34
S,2018-01-08 03:45:13
S,2018-01-08 03:46:21
B,2018-01-08 03:46:32
S,2018-01-08 03:47:00
S,2018-01-08 03:47:35
B,2018-01-08 03:48:36
S,2018-01-08 03:48:39
B,2018-01-08 03:49:07
B,2018-01-08 03:50:11
S,2018-01-08 03:50:13
S,2018-01-08 03:50:16
S,2018-01-08 03:50:44
S,2018-01-08 03:51:19
B,2018-01-08 03:51:24
S,2018-01-08 03:52:35
B,2018-01-08 03:52:48
S,2018-01-08 03:52:58
S,2018-01-08 03:53:09
S,2018-01-08 03:53:25
B,2018-01-08 03:53:27
S,2018-01-08 03:54:16
S,2018-01-08 03:54:26
S,2018-01-08 03:54:38
S,2018-01-08 03:54:39
B,2018-01-08 03:54:48
S,2018-01-08 03:56:00
B,2018-01-08 03:56:04
B,2018-01-08 03:56:40
B,2018-01-08 03:56:43
B,2018-01-08 03:56:46
B,2018-01-08 03:57:39
B,2018-01-08 03:58:00
S,2018-01-08 03:58:50
B,2018-01-08 03:59:20
B,2018-01-08 04:00:03
B,2018-01-08 04:00:15
S,2018-01-08 04:00:55
S,2018-01-08 04:01:04
B,2018-01-08 04:01:26
S,2018-01-08 04:01:56
B,2018-01-08 04:02:46
B,2018-01-08 04:03:01
S,2018-01-08 04:03:06
B,2018-01-08 04:03:27
S,2018-01-08 04:03:54
S,2018-01-08 04:04:09
B,2018-01-08 04:04:24
B,2018-01-08 04:05:19
S,2018-01-08 04:05:25
B,2018-01-08 04:05:33
B,2018-01-08 04:05:51
B,2018-01-08 04:06:11
S,2018-01-08 04:06:56
S,2018-01-08 04:07:03
B,2018-01-08 04:07:19
S,2018-01-08 04:07:40
S,2018-01-08 04:08:55
S,2018-01-08 04:09:01
S,2018-01-08 04:10:13
S,2018-01-08 04:10:44
B,2018-01-08 04:11:07
B,2018-01-08 04:12:38
B,2018-01-08 04:13:16
S,2018-01-08 04:13:22
S,2018-01-08 04:14:28
B,2018-01-08 04:14:29
S,2018-01-08 04:15:22
B,2018-01-08 04:15:35
B,2018-01-08 04:16:14
B,2018-01-08 04:16:23
S,2018-01-08 04:16:44
S,2018-01-08 04:17:25
B,2018-01-08 04:17:59
B,2018-01-08 04:18:21
B,2018-01-08 04:18:29
B,2018-01-08 04:18:53
S,2018-01-08 04:19:37
S,2018-01-08 04:20:03
B,2018-01-08 04:20:32
B,2018-01-08 04:20:43
S,2018-01-08 04:21:03
S,2018-01-08 04:22:08
B,2018-01-08 04:23:08
B,2018-01-08 04:23:29
B,2018-01-08 04:23:37
S,2018-01-08 04:25:39
S,2018-01-08 04:26:09
S,2018-01-08 04:27:08
B,2018-01-08 04:27:28
B,2018-01-08 04:27:36
S,2018-01-08 04:28:45
S,2018-01-08 04:29:02
B,2018-01-08 04:30:05
S,2018-01-08 04:31:21
S,2018-01-08 04:31:48
B,2018-01-08 04:31:55
S,2018-01-08 04:33:48
B,2018-01-08 04:34:12
B,2018-01-08 04:34:22
B,2018-01-08 04:34:36
B,2018-01-08 04:35:29
B,2018-01-08 04:35:34
B,2018-01-08 04:35:58
B,2018-01-08 04:36:11
S,2018-01-08 04:36:20
B,2018-01-08 04:37:22
B,2018-01-08 04:37:29
S,2018-01-08 04:37:36
S,2018-01-08 04:38:34
S,2018-01-08 04:38:49
B,2018-01-08 04:40:11
S,2018-01-08 04:40:22
B,2018-01-08 04:41:36
B,2018-01-08 04:42:14
B,2018-01-08 04:42:27
B,2018-01-08 04:42:42
S,2018-01-08 04:42:55
S,2018-01-08 04:43:19
B,2018-01-08 04:43:30
B,2018-01-08 04:44:44
B,2018-01-08 04:45:29
S,2018-01-08 04:46:39
B,2018-01-08 04:46:46
B,2018-01-08 04:46:51
S,2018-01-08 04:46:59
S,2018-01-08 04:47:01
B,2018-01-08 04:47:08
S,2018-01-08 04:48:21
S,2018-01-08 04:50:35
B,2018-01-08 04:50:55
S,2018-01-08 04:50:57
B,2018-01-08 04:51:03
S,2018-01-08 04:51:04
B,2018-01-08 04:52:20
B,2018-01-08 04:52:24
B,2018-01-08 04:53:09
S,2018-01-08 04:53:15
B,2018-01-08 04:53:52
S,2018-01-08 04:53:58
B,2018-01-08 04:54:14
B,2018-01-08 04:54:45
S,2018-01-08 04:55:02
B,2018-01-08 04:55:51
B,2018-01-08 04:56:11
S,2018-01-08 04:56:16
B,2018-01-08 04:56:32
B,2018-01-08 04:56:40
B,2018-01-08 04:57:10
B,2018-01-08 04:57:29
S,2018-01-08 04:58:13
S,2018-01-08 04:58:46
B,2018-01-08 04:59:07
S,2018-01-08 04:59:14
B,2018-01-08 05:00:53
S,2018-01-08 05:01:14
B,2018-01-08 05:01:18
B,2018-01-08 05:01:25
B,2018-01-08 05:01:40
B,2018-01-08 05:01:58
B,2018-01-08 05:03:29
B,2018-01-08 05:03:32
S,2018-01-08 05:03:33
B,2018-01-08 05:04:23
S,2018-01-08 05:04:42
B,2018-01-08 05:05:07
S,2018-01-08 05:05:13
S,2018-01-08 05:05:25
S,2018-01-08 05:06:41
B,2018-01-08 05:07:23
B,2018-01-08 05:07:45
S,2018-01-08 05:07:53
B,2018-01-08 05:08:40
S,2018-01-08 05:09:08
B,2018-01-08 05:09:14
S,2018-01-08 05:09:42
S,2018-01-08 05:10:56
B,2018-01-08 05:11:11
S,2018-01-08 05:12:17
B,2018-01-08 05:13:37
S,2018-01-08 05:13:51
S,2018-01-08 05:14:31
B,2018-01-08 05:14:56
B,2018-01-08 05:15:56
B,2018-01-08 05:16:03
S,2018-01-08 05:16:09
B,2018-01-08 05:17:02
S,2018-01-08 05:17:12
S,2018-01-08 05:17:21
B,2018-01-08 05:18:01
B,2018-01-08 05:18:09
S,2018-01-08 05:18:16
S,2018-01-08 05:18:26
B,2018-01-08 05:18:33
B,2018-01-08 05:18:35
B,2018-01-08 05:19:11
B,2018-01-08 05:19:32
B,2018-01-08 05:19:44
S,2018-01-08 05:20:36
S,2018-01-08 05:21:19
S,2018-01-08 05:21:34
S,2018-01-08 05:22:58
B,2018-01-08 05:23:56
B,2018-01-08 05:24:35
B,2018-01-08 05:26:01
S,2018-01-08 05:27:22
S,2018-01-08 05:27:56
B,2018-01-08 05:29:09
B,2018-01-08 05:29:57
S,2018-01-08 05:30:27
S,2018-01-08 05:30:48
B,2018-01-08 05:31:00
B,2018-01-08 05:31:04
S,2018-01-08 05:32:05
B,2018-01-08 05:32:26
B,2018-01-08 05:33:10
B,2018-01-08 05:33:45
S,2018-01-08 05:34:26
S,2018-01-08 05:35:14
S,2018-01-08 05:35:29
S,2018-01-08 05:36:49
S,2018-01-08 05:36:50
S,2018-01-08 05:37:22
S,2018-01-08 05:37:33
B,2018-01-08 05:37:58
B,2018-01-08 05:38:12
B,2018-01-08 05:38:13
B,2018-01-08 05:38:26
B,2018-01-08 05:39:05
B,2018-01-08 05:39:36
B,2018-01-08 05:40:11
S,2018-01-08 05:41:07
S,2018-01-08 05:41:35
B,2018-01-08 05:42:11
B,2018-01-08 05:42:25
